No.,Name,Formula,CAS no.,molecular-weight,critical-temperature,critical-pressure,critical-molar-volume,critical-compressibility-factor,acentric-factor,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
-,-,-,-,MW,Tc,Pc,Vc,Zc,AcFa,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,K,MPa,m3/kmol,-,-,kJ/mol,kJ/mol,J/mol.K,kJ/mol
63,Cyanogen,C2N2,460-19-5,52.035,400.15,5.98,0.195,0.351,0.279,309.072,297.598,241.463,-10.961
64,Cyclobutane,C4H8,287-23-0,56.106,459.93,4.98,0.21,0.273,0.1847,28.5,112.2,264.396,-25.678
65,Cyclohexane,C6H12,110-82-7,84.159,553.8,4.08,0.308,0.273,0.2081,-123.3,31.91,297.276,-36.56
66,Cyclohexanol,C6H12O,108-93-0,100.159,650.1,4.26,0.322,0.254,0.369,-286.2,-109.5,327.7,-34.639
67,Cyclohexanone,C6H10O,108-94-1,98.143,653,4,0.311,0.229,0.299,-226.1,-90.28,334.26,-32.99
68,Cyclohexene,C6H10,110-83-8,82.144,560.4,4.35,0.291,0.272,0.2123,-4.6,107.7,310.518,-35.32
69,Cyclopentane,C5H10,287-92-3,70.133,511.7,4.51,0.26,0.276,0.1949,-77.03,38.85,292.9,-30.709
70,Cyclopentene,C5H8,142-29-0,68.117,507,4.8,0.245,0.279,0.1961,32.3,110.5,291.267,-29.393
71,Cyclopropane,C3H6,75-19-4,42.08,398,5.54,0.162,0.271,0.1278,53.3,104.4,237.378,-19.593
72,Cyclohexyl mercaptan,C6H12S,1569-69-3,116.224,664,3.97,0.355,0.255,0.2641,-96.02,48.86,364.6,-39.68
73,Decanal,C10H20O,112-31-2,156.265,674.2,2.6,0.58,0.269,0.582,-331.7,-67.39,579.12,-59.59
74,Decane,C10H22,124-18-5,142.282,617.7,2.11,0.617,0.254,0.4923,-249.46,33.18,545.7,-62.9422
75,Decanoic acid,C10H20O2,334-48-5,172.265,722.1,2.28,0.639,0.243,0.8126,-594.3,-305,599,-57.2
76,1-Decanol,C10H22O,112-30-1,158.281,688,2.308,0.645,0.26,0.607,-398.5,-100.2,597.1,-61.16
77,1-Decene,C10H20,872-05-9,140.266,616.6,2.223,0.584,0.253,0.4805,-122.1,122.7,543.3,-61.809
78,Decyl mercaptan,C10H22S,143-10-2,174.347,696,2.13,0.624,0.23,0.5874,-210.9,61.65,611.6,-66.161
79,1-Decyne,C10H18,764-93-2,138.25,619.85,2.37,0.552,0.254,0.5178,41,251.6,526.3,-61.037
80,Deuterium,D2,7782-39-0,4.032,38.35,1.6617,0.060263,0.314,-0.1449,0,0,144.86,-2.4625
81,"1,1-Dibromoethane",C2H4Br2,557-91-5,187.861,628,6.03,0.276,0.319,0.125,-40.8,-11.81,327.6,-11.6
82,"1,2-Dibromoethane",C2H4Br2,106-93-4,187.861,650.15,5.477,0.2616,0.265,0.2067,-38.9,-10.54,329.7,-11.769
83,Dibromomethane,CH2Br2,74-95-3,173.835,611,7.17,0.223,0.315,0.2095,0,0,292.964,0
